action: resupply[$c1],action: resupply[$c2],action: resupply[$c3],action: resupply[$c4],states: quant[$c1],states: quant[$c2],states: quant[$c3],states: quant[$c4]
88,0,162,201,0,0,213,298
0,102,300,68,0,0,211,292
0,0,0,431,0,5,214,291
0,332,0,168,0,0,212,288
0,0,0,422,0,8,210,290
310,2,61,56,0,0,208,292
0,0,70,136,8,0,206,286
0,6,0,471,3,0,217,293
13,0,332,82,0,0,215,287
29,0,56,390,6,0,213,281
198,82,0,0,14,0,211,275
0,0,458,0,22,0,209,269
0,427,27,0,17,0,220,263
77,0,171,0,12,13,231,257
105,182,0,139,15,5,229,251
0,56,0,441,28,0,227,245
392,0,0,79,23,13,225,252
23,0,63,76,26,5,223,246
20,0,424,0,39,0,221,240
25,0,41,306,47,0,219,234
16,0,109,331,55,0,217,228
74,0,0,391,63,0,215,222
310,0,0,58,71,0,213,216
0,0,333,0,79,0,211,210
112,0,210,0,74,0,222,204
0,0,477,0,82,0,220,198
0,188,0,0,77,0,231,192
89,0,0,295,72,13,229,186
129,0,0,350,88,5,227,180
64,0,338,0,101,0,225,174
0,333,0,4,109,0,223,168
422,0,0,0,104,13,221,166
0,0,483,0,116,5,219,160
0,59,184,0,111,0,235,154
285,0,0,0,106,13,246,148
172,67,0,124,109,5,244,142
0,0,282,115,122,0,242,136
336,0,30,0,117,0,253,143
0,476,0,0,112,0,251,137
204,48,129,0,107,13,249,131
0,0,0,297,123,5,247,125
139,231,0,0,118,0,245,137
0,357,0,47,126,0,243,131
288,0,0,176,121,13,241,138
203,11,0,0,124,5,239,132
71,0,35,374,137,0,237,126
0,0,41,356,145,0,235,120
0,287,46,34,140,0,246,127
141,121,0,0,135,0,244,121
429,0,0,0,143,0,242,115
211,228,0,34,151,0,240,109
134,0,38,303,159,0,238,103
0,0,364,0,167,0,236,97
0,0,0,428,162,0,247,91
0,68,276,46,157,0,245,98
88,159,0,15,152,13,256,105
0,34,103,179,147,5,254,99
446,50,0,0,142,13,265,106
0,434,0,0,137,5,263,100
0,371,0,0,132,13,261,94
88,6,19,262,127,26,259,88
164,0,161,0,143,18,257,82
5,177,181,0,159,10,255,76
83,0,213,202,159,18,269,70
0,0,411,0,159,10,267,64
0,0,55,158,154,2,286,58
0,0,122,312,149,0,299,67
90,0,363,0,144,0,297,61
69,110,292,0,150,0,295,55
260,0,80,0,158,0,293,49
337,0,0,0,166,0,291,43
85,0,36,291,174,0,289,37
297,23,0,165,182,0,287,31
0,432,14,0,190,0,285,25
38,22,0,241,185,13,296,19
158,0,271,0,188,5,294,13
0,0,307,165,201,0,292,7
0,66,0,411,196,0,303,14
294,0,0,173,191,0,301,8
89,0,68,180,199,0,299,2
0,495,0,0,203,0,297,0
395,0,0,0,198,7,295,0
0,372,120,0,207,0,293,0
0,70,285,0,202,7,298,0
89,96,125,0,0,0,0,0
0,70,371,0,89,96,125,0
0,0,233,247,84,158,328,0
0,368,0,47,79,150,326,0
0,0,362,0,74,142,324,0
8,0,431,0,69,134,322,0
93,386,0,0,64,126,320,0
0,195,0,305,64,118,318,0
0,6,247,11,59,125,316,15
412,0,79,0,54,123,320,15
0,0,0,488,58,115,318,9
55,71,0,280,53,107,316,24
14,105,1,254,69,99,314,18
0,0,0,412,78,98,313,19
373,109,0,0,73,90,311,26
0,489,0,0,89,82,309,20
299,0,103,0,84,95,307,14
0,0,439,0,100,87,305,8
138,145,0,171,95,79,324,2
336,86,0,0,107,71,322,0
152,0,0,343,117,63,320,0
0,141,172,106,127,55,318,0
101,175,0,0,122,62,331,15
484,0,0,0,117,54,329,9
164,0,194,106,124,46,327,3
42,97,0,339,137,38,325,0
0,1,70,360,147,30,323,0
139,80,0,130,142,23,336,15
134,330,0,0,142,15,334,9
92,0,0,379,158,7,332,3
154,0,0,41,170,0,330,0
355,0,0,94,172,0,328,0
0,0,497,0,174,0,326,0
0,21,285,37,169,0,331,0
0,3,402,0,164,7,336,7
244,0,238,0,159,3,340,1
0,124,168,0,162,0,338,0
104,376,0,0,157,7,343,0
54,0,239,0,159,0,341,0
0,401,0,30,161,0,339,0
3,432,0,0,156,7,337,7
0,76,0,413,154,10,335,1
236,0,258,0,149,18,333,16
19,295,178,0,149,10,331,10
78,9,0,142,163,4,331,4
0,0,96,225,171,0,329,0
0,0,103,267,166,0,334,7
444,0,30,0,161,0,338,7
405,0,0,0,163,0,336,1
4,0,0,171,166,0,334,0
295,124,0,0,165,0,332,3
54,423,0,0,170,0,330,0
28,0,438,0,172,0,328,0
100,349,0,0,174,0,326,0
26,137,287,0,176,0,324,0
0,304,0,0,178,0,322,0
0,0,492,0,173,7,320,0
0,355,0,0,168,0,332,0
185,8,54,0,163,7,330,0
0,398,96,0,172,0,328,0
177,76,197,0,167,7,333,0
8,267,135,0,169,0,331,0
16,267,0,116,171,0,329,0
0,366,0,0,173,0,327,0
0,0,0,395,168,7,325,0
36,156,0,89,163,0,323,14
165,49,120,0,171,0,321,8
0,0,306,0,179,0,319,2
11,0,0,469,174,0,326,0
69,56,370,0,176,0,324,0
95,207,0,46,178,0,322,0
65,201,0,156,180,0,320,0
81,168,109,37,182,0,318,0
21,0,182,103,184,0,316,0
0,88,181,154,186,0,314,0
288,0,75,79,181,7,319,7
0,57,0,238,182,0,317,1
0,0,447,0,177,8,315,8
70,196,93,0,172,0,326,2
3,235,0,98,176,0,324,0
151,0,0,186,174,4,322,4
294,43,0,0,180,0,320,0
145,0,347,0,182,0,318,0
0,0,0,451,184,0,316,0
0,0,453,0,179,0,314,7
349,0,0,0,174,0,325,1
31,0,255,125,177,0,323,0
0,355,0,0,179,0,321,0
0,300,3,109,174,7,319,0
261,17,178,0,169,14,320,14
0,280,0,155,168,6,318,8
0,137,164,191,163,19,316,21
37,0,46,359,158,13,316,17
374,105,0,0,170,5,314,11
238,237,0,0,183,0,312,5
0,148,0,0,190,0,310,0
54,42,0,361,185,7,308,0
158,0,0,195,194,0,306,0
233,0,201,0,196,0,304,0
324,0,16,0,198,0,302,0
64,227,27,21,0,0,0,0
0,144,18,0,64,227,27,21
0,283,90,53,59,363,43,15
0,245,44,0,54,396,82,50
130,0,88,214,49,388,80,44
147,0,0,248,44,380,78,38
0,0,467,0,39,372,76,32
52,447,0,0,34,364,76,26
324,168,0,0,50,356,74,20
260,4,22,174,66,348,72,14
163,0,147,116,82,340,70,8
0,211,29,0,98,332,68,2
413,0,56,0,93,341,83,0
356,0,144,0,88,333,81,0
286,0,27,56,96,325,79,0
75,0,201,100,106,317,77,0
208,0,0,0,116,309,75,0
0,0,93,377,126,301,73,0
0,420,0,62,121,293,86,15
285,0,46,0,116,291,84,15
83,0,185,199,126,283,82,9
453,0,0,0,142,275,80,3
0,55,0,281,155,267,78,0
290,0,0,184,150,274,76,15
0,0,398,0,151,266,74,9
189,125,0,19,146,258,93,3
0,352,0,0,159,250,91,0
393,0,55,0,154,257,89,0
440,36,0,0,164,249,87,0
24,381,71,0,174,241,85,0
140,350,5,0,184,233,83,0
0,0,488,0,194,225,81,0
0,0,475,0,189,217,94,0
0,0,279,0,184,209,107,0
137,241,0,0,179,201,120,0
0,0,195,282,189,193,118,0
311,81,33,4,184,185,131,15
0,370,0,0,185,177,129,9
344,105,11,13,180,190,127,3
0,191,276,0,193,182,125,0
0,25,0,458,188,189,138,0
8,0,112,194,183,181,136,0
249,0,16,29,186,173,141,7
209,0,101,46,195,165,139,1
0,122,0,226,206,157,137,0
380,2,0,0,201,164,135,15
6,295,0,111,202,156,133,9
0,0,417,61,203,163,131,18
0,32,157,280,198,155,135,18
235,0,138,0,193,162,148,27
179,0,294,0,188,154,146,21
0,164,45,122,195,146,144,15
0,13,74,325,190,159,163,30
0,167,169,0,185,151,161,24
1,0,0,476,180,143,159,18
0,61,14,107,176,135,157,32
153,0,52,273,171,148,169,47
239,0,0,188,166,140,167,41
0,15,419,0,168,132,165,35
355,0,0,0,163,139,184,29
141,103,54,0,164,131,182,23
14,0,0,239,180,123,180,17
13,37,127,0,189,115,178,18
0,422,74,0,197,115,184,12
0,0,214,0,192,120,195,6
0,422,0,44,187,112,201,0
0,0,250,172,182,119,199,15
140,28,95,62,177,111,203,15
0,0,399,0,187,103,201,9
159,0,0,286,182,95,220,3
0,477,0,0,195,87,218,0
44,97,0,296,190,94,216,0
219,0,281,0,200,86,214,0
260,149,0,1,210,78,212,0
47,0,195,125,220,70,210,0
138,72,13,0,230,62,208,0
0,382,54,0,240,54,206,0
417,0,0,0,235,61,219,0
0,25,0,473,230,53,217,0
0,0,119,281,225,60,215,15
0,20,137,340,220,52,219,15
0,56,55,68,215,59,232,24
288,0,0,0,210,51,230,18
48,232,115,0,217,43,228,12
0,266,0,172,233,35,226,6
0,0,452,0,228,48,224,21
0,0,0,443,223,40,222,15
455,0,0,2,218,32,220,30
0,422,0,0,234,24,218,24
453,0,0,0,229,37,216,18
336,0,0,124,245,29,214,12
0,0,0,301,261,21,212,6
0,0,475,0,256,13,210,21
321,0,0,58,251,5,229,15
0,150,142,110,264,0,227,9
419,0,0,0,259,13,238,16
0,41,452,0,254,5,236,10
86,142,0,126,249,13,247,4
0,0,0,252,250,5,245,0
0,0,0,376,245,0,243,12
226,239,2,0,0,0,0,0
173,0,123,14,226,239,2,0
424,0,0,0,269,231,0,0
0,0,0,495,277,223,0,0
0,98,226,7,272,215,0,13
0,461,0,0,267,226,19,14
49,0,0,361,262,218,17,8
0,158,325,2,273,210,15,2
140,0,78,60,268,219,30,2
178,70,71,0,263,211,28,0
0,0,151,148,271,203,26,0
270,0,12,113,266,195,39,15
106,308,0,0,267,187,37,9
139,0,176,173,283,179,35,3
0,0,63,346,296,171,33,0
275,0,37,110,291,163,46,15
346,74,0,0,292,155,44,9
326,0,0,62,308,147,42,3
89,70,0,295,321,139,40,0
0,0,322,0,331,131,38,0
217,0,32,13,326,123,51,0
292,0,0,134,336,115,49,0
309,113,0,0,346,107,47,0
123,0,0,298,356,99,45,0
0,0,329,129,366,91,43,0
93,0,0,243,361,83,56,15
0,160,271,0,362,75,54,9
28,0,0,302,357,88,73,3
171,0,0,235,352,80,71,0
173,0,0,293,359,72,69,0
424,0,0,0,369,64,67,0
6,0,0,425,379,56,65,0
0,0,273,183,380,48,63,9
113,0,64,252,375,40,82,24
0,184,0,155,370,32,80,18
0,0,0,214,365,45,78,33
104,93,238,0,360,37,76,27
0,0,319,147,376,29,74,21
0,0,21,321,371,21,93,36
138,0,6,314,366,13,91,30
32,242,0,80,382,5,89,24
0,0,0,488,395,0,87,18
0,113,98,153,390,0,85,25
274,96,0,126,385,13,96,32
412,0,6,0,380,5,94,26
0,0,0,441,388,0,92,20
98,314,18,0,383,0,90,27
0,490,0,0,391,0,88,21
0,0,455,0,386,13,86,15
385,113,0,0,381,5,105,9
379,0,0,113,394,0,103,3
0,0,431,0,399,0,101,0
126,0,0,267,394,0,106,0
0,0,0,426,396,0,104,0
228,24,0,0,391,0,102,7
217,147,128,0,399,0,100,1
429,0,0,0,402,0,98,0
173,0,0,113,404,0,96,0
177,0,0,288,406,0,94,0
38,0,351,0,408,0,92,0
26,287,59,99,410,0,90,0
62,288,89,0,412,0,88,0
0,0,2,455,414,0,86,0
44,440,0,0,409,0,86,7
0,130,192,91,415,0,84,1
0,37,402,0,410,8,90,8
0,180,28,4,405,5,93,2
0,0,394,47,400,9,100,4
159,133,190,0,395,1,104,6
0,75,75,303,398,0,102,0
328,0,0,24,393,7,107,7
8,0,256,77,394,0,105,1
0,0,475,17,397,0,103,0
0,0,476,0,392,0,108,7
75,213,0,0,387,0,112,1
0,282,0,70,390,0,110,0
0,0,105,358,385,7,108,7
52,333,0,0,380,0,119,14
0,476,0,0,375,0,117,8
465,0,0,0,370,13,115,2
0,451,0,0,382,5,113,0
0,161,162,118,377,12,111,0
233,0,0,158,372,19,124,15
87,402,0,0,367,11,122,9
42,59,0,264,374,3,120,3
276,0,0,176,382,0,118,0
329,0,0,0,384,0,116,0
0,147,6,122,386,0,114,0
156,181,0,0,381,7,118,7
0,0,0,292,383,0,116,1
205,0,122,0,378,0,114,8
483,0,0,0,386,0,112,2
0,371,0,0,390,0,110,0
0,0,0,310,385,7,108,0
0,0,30,376,380,0,106,14
0,0,0,409,375,0,117,21
104,165,0,194,370,0,115,15
0,271,197,0,378,0,113,9
28,168,0,209,373,13,124,3
0,275,131,0,373,5,122,0
0,39,0,405,0,0,0,0
0,301,0,179,0,39,0,405
0,0,470,0,0,101,0,469
0,0,497,0,0,93,0,463
385,54,48,13,0,85,0,457
0,379,82,0,0,77,0,451
118,39,250,0,0,69,0,445
301,0,0,0,0,61,0,439
0,331,0,115,14,53,0,433
204,12,234,0,9,64,0,446
0,140,284,0,4,56,0,440
304,0,0,194,0,66,18,434
346,0,15,0,0,58,16,428
40,0,0,386,14,50,14,422
100,0,6,391,30,42,12,416
0,64,407,0,46,34,10,410
0,212,218,0,41,47,29,404
0,480,0,0,36,39,27,398
437,0,0,0,31,52,25,392
0,0,0,473,47,44,23,386
443,0,0,0,42,36,21,401
294,0,118,1,58,28,19,395
241,0,0,41,74,20,17,389
0,164,198,117,90,12,15,383
44,214,219,0,85,25,34,398
0,394,0,0,80,17,32,392
0,86,66,135,75,9,30,386
203,0,0,264,70,22,49,401
0,72,167,160,65,14,47,395
259,104,37,0,60,6,45,389
98,9,18,216,74,0,43,383
210,65,225,0,82,0,41,377
354,89,0,0,90,0,39,371
52,0,21,427,98,0,37,365
0,0,0,471,106,0,35,359
0,334,0,143,101,0,33,366
471,0,0,0,96,13,31,373
0,0,0,347,99,5,29,367
0,0,279,183,94,0,27,379
228,18,217,0,89,0,38,386
0,0,441,0,84,0,36,380
436,0,0,39,79,0,47,374
161,0,201,0,87,0,45,368
278,0,23,83,95,0,43,362
158,320,20,0,103,0,41,356
0,108,0,308,111,0,39,350
9,437,0,0,106,13,37,357
23,0,163,0,109,5,35,351
0,0,92,310,122,0,33,345
313,97,0,0,117,0,44,352
490,0,0,0,112,0,42,346
263,173,0,0,120,0,40,340
0,0,0,405,128,0,38,334
0,0,160,229,123,0,36,341
0,19,0,414,118,0,47,348
243,176,0,0,113,0,45,342
22,28,140,248,121,0,43,336
0,67,364,0,129,0,41,330
0,169,256,0,124,13,52,324
0,279,0,0,119,13,58,318
220,0,0,13,114,18,56,312
0,0,210,289,130,10,54,306
148,90,63,103,125,2,73,321
0,430,0,0,120,0,71,315
0,41,359,23,115,7,69,309
203,0,1,142,110,20,87,323
37,0,0,446,105,12,85,317
0,141,0,112,102,4,83,311
0,0,0,484,97,17,81,322
0,0,0,392,92,9,79,320
0,100,191,208,87,1,77,335
211,1,0,224,82,14,89,343
167,82,0,0,77,6,87,337
0,68,114,298,84,0,85,331
102,310,0,0,79,13,96,338
75,143,12,0,74,5,94,332
0,0,238,0,82,0,92,326
0,45,407,0,77,0,103,320
455,0,0,0,72,13,114,314
0,473,0,0,75,5,112,308
0,192,174,0,70,18,110,302
0,0,0,460,65,31,129,296
43,44,34,0,60,23,127,290
0,289,0,0,76,15,125,284
0,162,274,0,71,28,123,278
0,392,18,0,66,41,142,272
178,101,0,62,61,33,140,266
66,0,324,0,77,25,138,260
0,378,74,0,93,17,136,254
0,0,69,184,88,30,155,248
4,0,336,0,83,22,153,242
0,85,18,0,82,14,168,236
0,98,178,145,77,27,184,230
3,0,401,0,72,22,185,227
74,397,0,0,70,14,195,221
0,0,496,0,86,6,193,215
288,147,0,0,81,0,210,209
0,0,419,0,89,0,208,203
0,350,65,0,84,0,219,197
0,0,423,0,79,13,230,191
483,0,0,0,0,0,0,0
0,0,109,309,483,0,0,0
195,0,0,0,478,0,22,22
72,153,0,0,473,0,20,16
140,162,0,0,472,0,18,10
0,404,0,0,480,0,16,4
0,15,460,0,475,11,14,0
204,0,245,0,470,18,27,0
180,0,233,0,465,10,25,0
0,131,268,75,475,2,23,0
0,0,0,495,470,9,30,9
71,73,248,0,465,1,28,6
312,106,10,0,474,0,26,0
0,100,0,122,476,0,24,0
0,0,0,194,471,7,22,7
481,0,0,0,466,0,20,14
392,0,0,0,474,0,18,8
242,0,0,221,482,0,16,2
0,0,340,0,486,0,14,0
0,374,11,0,481,0,19,0
62,63,0,116,476,7,24,0
0,0,65,389,478,0,22,0
0,0,261,183,473,0,27,7
0,372,0,0,468,0,31,7
0,417,60,0,463,7,29,1
0,27,403,0,458,15,42,0
223,24,0,0,453,7,40,0
137,0,0,322,462,0,38,0
0,18,0,368,464,0,36,0
0,406,0,77,459,7,34,7
0,0,0,456,454,13,32,14
421,27,0,10,449,5,30,16
22,0,430,0,462,0,28,10
67,420,0,0,470,0,26,4
177,138,0,0,476,0,24,0
0,428,0,37,478,0,22,0
0,0,433,0,473,7,20,7
243,235,0,0,468,0,31,1
0,329,137,0,471,0,29,0
0,368,125,0,466,7,34,0
450,0,0,0,461,7,39,0
0,366,0,0,463,0,37,0
0,418,0,0,458,7,35,0
490,0,0,0,453,14,33,0
70,0,184,0,463,6,31,0
160,132,134,13,471,0,29,0
1,345,0,0,473,0,27,0
0,137,314,0,469,6,25,0
0,0,217,236,464,13,36,0
455,0,0,29,459,5,36,2
0,0,460,0,466,0,34,0
69,268,23,14,461,0,39,0
0,0,16,106,463,0,37,0
153,0,0,125,458,0,42,7
199,123,156,0,459,0,40,1
105,0,251,0,462,0,38,0
235,0,97,26,464,0,36,0
0,186,0,252,466,0,34,0
117,0,336,0,461,7,32,7
0,356,0,0,469,0,30,1
220,151,0,18,464,8,28,0
168,0,153,36,474,0,26,0
165,0,0,230,476,0,24,0
0,239,0,0,478,0,22,0
0,313,125,0,473,7,20,0
46,27,88,201,468,14,32,0
0,352,0,0,464,6,30,0
0,95,133,132,459,13,28,0
0,0,186,308,454,20,41,15
0,4,0,467,449,12,39,9
0,415,0,0,444,8,37,15
0,0,0,448,439,17,35,9
146,0,0,31,434,9,33,24
226,170,0,0,450,1,31,18
0,0,144,313,459,0,29,12
198,0,0,244,454,0,40,19
0,0,0,461,449,0,38,13
248,0,0,0,444,0,36,20
0,0,40,351,452,0,34,14
0,223,14,99,447,0,45,21
0,414,0,0,442,0,43,15
0,114,0,192,437,13,41,9
0,228,0,225,432,26,39,24
308,0,140,40,427,18,37,18
113,313,0,0,443,10,35,12
0,0,39,277,459,2,33,6
335,44,0,0,454,0,46,15
336,0,1,0,449,0,44,9
368,27,0,58,455,0,42,3
0,162,0,157,460,0,40,0
0,323,0,0,455,7,38,7
0,38,0,157,450,13,36,1
455,0,0,0,445,21,34,16
6,198,110,106,445,13,32,10
0,95,391,0,446,20,45,19
0,0,55,154,441,12,43,13
0,0,0,465,436,4,53,19
0,297,0,0,431,0,51,18
0,0,15,201,426,13,49,12
0,0,0,486,421,5,62,27
0,443,0,0,0,0,0,0
4,0,308,150,0,443,0,0
0,244,250,0,4,435,61,61
278,0,0,0,0,427,59,55
0,25,0,390,0,419,57,49
0,411,26,0,0,411,55,43
2,260,9,0,0,410,60,37
0,493,0,0,2,409,65,31
20,134,320,0,0,412,63,25
99,242,1,0,16,404,61,19
316,0,0,0,32,396,59,13
122,0,0,335,48,388,57,7
229,0,122,0,64,380,55,1
0,166,0,266,75,372,53,0
0,233,12,0,70,379,51,15
0,14,53,284,65,377,55,9
199,102,96,0,60,383,68,18
0,0,206,217,55,375,66,12
0,107,125,0,50,367,77,19
0,0,426,0,45,367,83,13
394,0,0,0,40,359,94,7
3,0,0,459,56,351,92,1
0,0,439,0,54,343,90,13
69,136,0,0,49,335,109,7
0,373,20,46,65,327,107,1
213,69,0,165,60,335,121,16
106,304,0,0,55,327,119,10
0,0,394,0,60,319,117,4
0,2,0,235,55,311,134,0
0,20,332,8,50,305,132,15
9,0,96,233,45,316,149,17
348,42,0,0,40,308,147,11
0,0,389,0,50,300,145,5
0,171,0,274,45,292,163,0
0,383,0,0,40,299,161,15
0,447,44,0,35,297,159,9
87,161,129,0,30,310,178,3
0,0,72,286,25,302,176,0
158,0,62,227,20,294,186,12
436,0,0,14,24,286,184,6
0,131,0,204,40,278,182,0
318,0,100,0,35,285,180,15
82,111,201,65,36,277,178,9
0,97,42,231,52,269,176,3
0,0,330,0,47,279,192,18
266,95,0,79,42,271,190,12
0,0,0,406,43,263,188,6
172,103,21,133,38,255,186,21
267,0,220,0,54,247,184,15
74,258,0,0,70,239,182,9
0,20,351,111,86,231,180,3
0,0,0,383,81,241,196,18
0,0,425,0,76,233,194,12
0,0,0,278,71,225,198,6
154,104,0,0,66,217,196,21
0,488,0,0,82,209,194,15
0,0,151,107,77,222,192,9
0,483,0,0,72,214,211,24
407,54,0,0,67,206,209,18
379,0,0,0,83,198,207,12
0,474,0,0,99,190,205,6
0,0,9,341,94,203,203,0
473,0,0,10,89,195,210,15
489,0,0,0,96,187,208,9
0,478,0,0,112,179,206,3
0,453,0,0,107,189,204,0
0,63,367,40,102,196,202,0
272,0,108,0,97,203,215,15
0,436,0,0,92,195,213,9
388,0,0,71,87,199,211,3
210,0,22,125,100,191,209,0
0,64,5,291,110,183,207,0
313,94,65,22,105,190,210,15
0,67,64,17,101,182,208,9
0,398,102,0,96,195,227,20
0,0,0,450,91,187,225,14
461,0,0,0,86,179,223,12
46,65,276,0,102,171,221,6
28,74,334,0,118,163,219,0
0,318,0,75,128,155,217,0
0,0,360,0,123,162,215,15
265,0,132,0,118,154,219,9
0,423,43,0,134,146,217,3
226,0,82,30,129,156,233,0
0,0,479,0,124,148,231,0
244,0,120,0,119,140,241,0
158,0,284,0,129,132,239,0
373,0,3,0,139,124,237,0
78,113,130,0,149,116,235,0
0,265,37,0,159,108,233,0
186,0,217,60,154,115,246,0
0,36,283,112,149,107,244,0
441,0,21,0,144,114,257,15
0,0,0,300,139,106,255,9
0,350,0,145,134,98,253,15
0,252,106,0,129,111,251,30
52,431,0,0,124,103,249,24
0,0,4,435,140,95,247,18
202,0,266,0,135,87,249,33
0,118,256,0,147,79,247,27
0,169,0,13,0,0,0,0
0,494,0,0,0,169,0,13
359,0,0,0,0,493,0,7
0,0,179,0,14,485,0,1
331,0,97,34,9,477,14,0
0,59,320,30,19,469,12,0
175,0,324,0,14,476,25,15
0,311,0,108,9,468,23,9
73,284,0,127,4,472,21,15
177,285,0,0,8,464,19,9
206,0,0,136,24,456,17,3
0,392,0,0,37,448,15,0
124,129,170,0,32,455,13,0
0,0,473,0,42,447,11,0
40,0,0,363,37,439,24,0
117,333,0,0,47,431,22,0
186,114,0,165,57,423,20,0
239,109,0,0,67,415,18,0
0,0,440,0,77,407,16,0
108,0,158,52,72,399,29,0
0,0,0,444,82,391,27,0
485,0,0,0,77,383,25,15
0,0,365,0,93,375,23,9
0,337,0,148,88,367,42,3
281,0,0,0,83,377,40,18
0,335,0,0,81,369,38,12
0,0,398,0,76,382,36,6
404,0,59,0,71,374,55,0
0,411,0,0,81,366,53,0
0,435,0,0,76,373,51,0
0,378,0,122,71,380,49,0
0,117,141,208,66,387,47,15
0,131,0,288,61,385,51,15
17,10,371,0,56,386,49,18
0,0,9,373,63,378,47,12
49,143,21,281,58,370,54,27
86,53,0,357,65,362,52,21
77,0,4,125,81,354,50,15
0,0,0,439,97,346,48,9
0,0,452,0,92,338,46,24
83,0,0,282,87,330,65,18
313,0,0,97,103,322,63,12
13,24,0,376,119,314,61,6
0,430,44,0,127,314,59,8
146,0,254,63,122,319,70,2
115,6,123,142,121,311,68,0
243,0,162,75,131,303,66,0
0,0,210,262,141,295,64,0
332,0,0,0,136,287,77,15
0,63,163,0,137,279,75,9
0,0,51,239,132,292,94,3
52,257,0,0,127,284,92,0
0,0,0,349,134,276,90,0
83,27,387,0,129,268,88,15
397,0,0,0,145,260,86,9
0,0,177,287,161,252,84,3
193,0,0,282,156,244,100,18
302,0,103,0,154,236,98,12
0,188,0,265,170,228,96,6
0,173,0,208,165,241,94,21
262,0,0,14,160,233,92,15
0,0,45,173,176,225,90,9
22,79,0,340,171,217,109,24
0,0,457,10,166,209,107,18
0,0,0,495,161,201,126,22
